2025-06-02 02:32:38.229 | INFO     | __main__:scrape_products:40 - Scraped product 50: ACEMAGIC AMD Laptop Computer,16 Inch FHD Display Laptop with AMD Ryzen 7 6800H Processor up to 4.7GHz,16GB Ram DDR5 4800MHz 512GB SSD Notebook with Backlit Keyboard
2025-06-02 02:32:38.232 | INFO     | __main__:scrape_products:40 - Scraped product 51: Laptop Gaming,Gaming Laptops,16GB DDR4 512GB SSD,16"FHD 1920*1080P PC,Windows 11 Pro,Full Metal Housing,N100 CUP(Up To 3.4Ghz),BT, 5G Wifi, 3*USB3.2, Supports Type C Charging,5000mAh Battery,Gray
2025-06-02 02:32:38.236 | INFO     | __main__:scrape_products:40 - Scraped product 52: ASUS 14" FHD Laptop, Intel Pentium N6000 Processor, 4GB RAM, 224GB Storage(64GB eMMC+160GB Docking Station Set), Intel UHD Graphics, Webcam, Bluetooth, Win 11, Star Black
2025-06-02 02:32:38.240 | INFO     | __main__:scrape_products:40 - Scraped product 53: 【Win 11 Pro/MS Office 2019】 16" Purple Gaming Laptop,12th Gen Alder Lake Quad Core N95 CPU,12GB LPDDR5, 1920 * 1200 FHD IPS, Color Backlit KB, Fingerprint Unlock/HDMI (12GB +1TB NVME SSD)
2025-06-02 02:32:38.242 | INFO     | __main__:scrape_products:40 - Scraped product 54: 2025 Laptop, Laptop with AMD Ryzen 7 5700U (8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Laptop Computer, Radeon RX Vega 8 Graphics, 16.0-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB
2025-06-02 02:32:38.246 | INFO     | __main__:scrape_products:40 - Scraped product 55: Lenovo Legion 5 Pro 16" Gaming Laptop (13th Gen Intel Core i7-13700HX, 32GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 4060, 165Hz Display,Microsoft® Windows 11 Home (64-bit)
2025-06-02 02:32:38.250 | INFO     | __main__:scrape_products:40 - Scraped product 56: Gaming Laptop N5095, 15.6 Inch Laptop Computer, Laptops 24GB RAM 1TB SSD,Laptop Gamer 180 Angle Opening, Fingerprint Unlock Backlit Keyboard 1920X1080 FHD IPS Mini-HDMI WiFi5 For Student Business Work
2025-06-02 02:32:38.251 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:38.251 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:38.254 | INFO     | __main__:scrape_products:40 - Scraped product 57: ASUS ROG Strix G18 (2025) Gaming Laptop, 18” ROG Nebula Display 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5060, AMD Ryzen™ 9 7940HX Mobile Processor, 32GB DDR5-5200Mhz, 1TB PCIe Gen 4 SSD, Wi-Fi 6E
2025-06-02 02:32:38.258 | INFO     | __main__:scrape_products:40 - Scraped product 58: Laptop Gaming,Gaming Laptop,16GB RAM 512GB SSD,N100(Up to 3.4Ghz,12th ),Aluminum Body,15.6"FHD Display,Support WiFi,Bluetooth,Backlit Keyboard,Support Type C Charging,Win 11 Pro,For Business,Spacegray
2025-06-02 02:32:38.262 | INFO     | __main__:scrape_products:40 - Scraped product 59: ASUS TUF Gaming Laptop 2024 - AMD Ryzen 7 7735HS Beat i7-12650H - RTX 3050 - Backlit Keyboard RGB - 15.6" FHD Display 144Hz - 32GB DDR5 RAM - 1TB PCIe SSD - Gaming PC - HDMI Cable
2025-06-02 02:32:38.265 | INFO     | __main__:scrape_products:40 - Scraped product 60: HP Victus 15.6" 144Hz FHD Gaming Laptop,AMD Ryzen 5 7535HS,64GB DDR5 RAM,2TB SSD,AMD Radeon RX 6550M,Beats RTX 2050,Backlit Keyboard,Windows11 Pro, Mica Silver
